City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Moville,US,2020-06-18 19:58:51,42.49,-96.07,82.99,65,40,12.75
249,Turukhansk,RU,2020-06-18 19:50:39,65.82,87.98,42.76,87,34,15.88
250,Souillac,MU,2020-06-18 19:50:24,-20.52,57.52,71.6,68,75,10.29
251,Shache,CN,2020-06-18 19:58:51,38.42,77.24,70.47,35,5,15.28
252,Sencha,UA,2020-06-18 19:58:13,50.25,33.35,66.06,78,95,4.92
253,Aykhal,RU,2020-06-18 19:51:47,66.0,111.5,55.4,58,90,6.71
254,Coihaique,CL,2020-06-18 19:58:47,-45.58,-72.07,51.8,57,40,5.82
255,Asau,RO,2020-06-18 19:51:03,46.43,26.4,63.0,93,36,3.47
256,Lethem,GY,2020-06-18 19:58:52,3.38,-59.8,84.79,73,51,4.5
257,Pangnirtung,CA,2020-06-18 19:51:04,66.15,-65.71,39.2,80,75,18.34
258,Awjilah,LY,2020-06-18 19:58:53,29.11,21.29,83.03,22,0,11.07
259,Bandarbeyla,SO,2020-06-18 19:58:53,9.49,50.81,80.51,73,99,30.49
260,Cody,US,2020-06-18 19:58:53,44.53,-109.06,64.0,51,75,9.17
261,Robertsport,LR,2020-06-18 19:58:53,6.75,-11.37,79.12,83,100,16.22
262,Upernavik,GL,2020-06-18 19:58:54,72.79,-56.15,36.39,81,0,10.78
263,Bratsk,RU,2020-06-18 19:58:54,56.13,101.61,55.4,58,0,8.95
264,Darhan,MN,2020-06-18 19:58:54,49.49,105.92,59.68,79,100,2.37
265,Charlottetown,CA,2020-06-18 19:57:02,46.24,-63.13,84.2,37,75,13.87
266,Sangar,RU,2020-06-18 19:58:54,63.92,127.47,62.42,51,99,3.6
267,Atherton,GB,2020-06-18 19:50:37,53.52,-2.49,57.99,93,100,3.0
268,Jacqueville,CI,2020-06-18 19:58:55,5.21,-4.41,80.6,83,20,5.82
269,Volgodonsk,RU,2020-06-18 19:58:55,47.51,42.15,71.64,48,100,8.34
270,Salinas,US,2020-06-18 19:47:31,36.68,-121.66,82.0,44,1,16.11
271,Sobolevo,RU,2020-06-18 19:58:55,54.43,31.9,66.45,86,1,6.69
272,Mardin,TR,2020-06-18 19:58:55,37.31,40.74,73.13,26,0,8.79
273,Kavaratti,IN,2020-06-18 19:51:49,10.57,72.64,84.13,80,97,15.84
274,Fuling,CN,2020-06-18 19:58:56,29.7,107.39,74.48,76,97,2.39
275,Vila Do Maio,CV,2020-06-18 19:58:56,15.13,-23.22,84.2,54,0,26.4
276,Panguipulli,CL,2020-06-18 19:58:56,-39.63,-72.33,59.0,77,75,11.41
277,Porto-Vecchio,FR,2020-06-18 19:57:53,41.59,9.28,68.0,82,0,2.24
278,Sinazongwe,ZM,2020-06-18 19:58:57,-17.26,27.46,64.24,49,11,2.08
