City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
339,Calabozo,VE,85.1,8.92,-67.43,Hotel Giardini
341,Kutum,SD,79.77,14.2,24.67,Dibbo areaمنطقة دبو
342,Jammal,TN,80.01,35.62,10.76,bolbol
344,Mareeba,AU,69.8,-17.0,145.43,Trinity Plains Tourist Park
345,Padang,ID,77.52,-0.95,100.35,Mercure Padang
346,Fortuna,US,63.0,40.6,-124.16,Super 8 by Wyndham Fortuna
347,Apiai,BR,67.19,-24.51,-48.84,Pousada Villa Branca
351,Santa Cruz De La Palma,ES,73.4,28.68,-17.76,H10 Taburiente Playa
352,Sabang,ID,83.03,5.89,95.32,Hotel Citra
353,Lata,PT,66.0,40.16,-8.33,Casa Maquia
354,Oudtshoorn,ZA,75.2,-33.59,22.2,Earthbound Guest House
355,Cabedelo,BR,75.2,-6.98,-34.83,Lua Mansa Pousada
356,Furmanov,RU,62.6,57.25,41.11,Ip Avdalyan L.u.
357,Oistins,BB,86.0,13.07,-59.53,Butterfly Beach Hotel
358,Milici,BA,62.6,44.17,19.09,Hotelski apartmani Boksit
361,Dwarka,IN,86.41,22.24,68.97,Hotel Narayan Avezika Comfort
363,Skuodas,LT,69.8,56.27,21.53,Skuodiskio uzeiga
364,Roald,NO,71.01,62.58,6.13,Flem Cabins
366,San Policarpo,PH,79.81,12.18,125.51,Zal-Ann Beach Resort
367,Grants Pass,US,82.4,42.44,-123.33,La Quinta Inn & Suites by Wyndham Grants Pass
369,Maddur,IN,73.13,12.6,77.07,Hotel Thimmadas Residency
370,Bovolone,IT,66.99,45.25,11.13,Villa Ormaneto
372,Goure,NE,88.0,13.98,10.27,
374,Hambantota,LK,82.33,6.12,81.12,Bungalow 63
376,Katsuura,JP,66.2,35.13,140.3,Katsuura Hotel Mikazuki
379,Steamboat Springs,US,68.0,40.48,-106.83,Steamboat Grand
380,Nampula,MZ,64.4,-15.12,39.27,Tacab Residencial
382,Tocopilla,CL,66.34,-22.09,-70.2,Hotel Galvarino
383,Takoradi,GH,77.22,4.88,-1.76,Raybow International Hotel
384,Iquitos,PE,87.8,-3.75,-73.25,Cortez Malaga Techy Caroly
386,Salihorsk,BY,66.36,52.79,27.54,Apartment on Parkovoy 26
387,Minggang,CN,72.45,32.46,114.05,Yindu Hotel
388,Itaituba,BR,91.29,-4.28,-55.98,Hotel Campos
390,Trairi,BR,80.4,-3.28,-39.27,Pousada Field Lilies - Trairi
391,Sioux Lookout,CA,62.6,50.1,-91.92,Knobby's Fly-In Camps
392,Auki,SB,78.01,-8.77,160.7,Auki Motel
393,Miyazu,JP,62.46,35.53,135.18,Seikiro
394,Nola,IT,71.6,40.92,14.53,Pamaran Hotel
397,Kununurra,AU,60.8,-15.77,128.73,Hotel Kununurra
399,Kamenolomni,RU,78.8,47.67,40.21,Nikopol
400,Kuala Terengganu,MY,78.8,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
401,Nanzhang,CN,71.13,31.78,111.84,Longmenkezhan
402,Coahuayana,MX,87.8,18.73,-103.68,Hotel Los Arcos
405,Abu Kamal,SY,81.59,34.45,40.92,
