City_ID,City,Country,Lat,Lng,Current Description,Rain (inches),Snow (inches),Max Temp,Humidity,Cloudiness,Wind Speed
177,Beian,NO,63.66,9.57,clear sky,0.0,0.0,62.6,82,10,1.12
178,Havre-Saint-Pierre,CA,50.23,-63.6,overcast clouds,0.0,0.0,53.6,76,90,12.75
179,Poum,NC,-20.23,164.02,scattered clouds,0.0,0.0,71.37,78,38,8.21
180,Sativasur,CO,6.09,-72.71,light rain,0.35,0.35,64.69,58,55,4.52
181,Olafsvik,IS,64.89,-23.71,overcast clouds,0.0,0.0,52.79,67,100,11.56
182,Pisco,PE,-13.7,-76.22,clear sky,0.0,0.0,69.8,64,2,12.75
183,New Glasgow,CA,45.58,-62.65,clear sky,0.0,0.0,82.99,48,0,8.99
184,Mbaiki,CF,3.87,17.99,overcast clouds,0.0,0.0,73.62,84,97,1.36
185,Nabire,ID,-3.37,135.48,broken clouds,0.0,0.0,75.76,87,61,3.67
186,Casas Grandes,MX,30.37,-107.95,clear sky,0.0,0.0,89.1,16,1,10.38
187,Thompson,CA,55.74,-97.86,light intensity shower rain,0.0,0.0,44.6,100,75,9.17
188,Salinas,US,36.68,-121.66,clear sky,0.0,0.0,75.0,56,1,12.75
189,Manali,IN,13.17,80.27,haze,0.0,0.0,87.8,66,40,4.7
190,Lompoc,US,34.64,-120.46,few clouds,0.0,0.0,66.2,72,11,11.41
191,Lagoa,PT,39.05,-27.98,overcast clouds,0.0,0.0,65.16,88,86,19.51
192,Ixtapa,MX,20.7,-105.2,clear sky,0.0,0.0,86.0,66,5,12.75
193,Tuktoyaktuk,CA,69.45,-133.04,overcast clouds,0.0,0.0,50.0,66,90,9.17
194,Wanxian,CN,30.8,108.39,light rain,0.45,0.45,74.03,66,100,2.95
195,Cherskiy,RU,68.75,161.3,scattered clouds,0.0,0.0,75.96,33,39,1.54
196,Kidal,ML,18.44,1.41,broken clouds,0.0,0.0,94.06,20,77,2.39
197,Severo-Kurilsk,RU,50.68,156.12,light rain,0.34,0.34,41.61,92,100,17.13
198,Guerrero Negro,MX,27.98,-114.06,broken clouds,0.0,0.0,72.57,53,60,19.01
199,Coquimbo,CL,-29.95,-71.34,clear sky,0.0,0.0,59.0,87,4,13.87
200,Rocha,UY,-34.48,-54.33,light rain,0.57,0.57,57.9,75,100,4.92
201,Anadyr,RU,64.75,177.48,overcast clouds,0.0,0.0,66.2,45,99,2.24
202,Poroszlo,HU,47.65,20.67,clear sky,0.0,0.0,66.2,77,0,4.7
203,Yanam,IN,16.73,82.22,overcast clouds,0.0,0.0,81.91,79,100,5.66
204,Mogadishu,SO,2.04,45.34,scattered clouds,0.0,0.0,78.06,82,36,17.98
205,Preobrazheniye,RU,42.9,133.91,few clouds,0.0,0.0,50.68,87,22,2.77
206,Bukama,CD,-9.2,25.85,clear sky,0.0,0.0,67.14,50,0,2.82
207,Thinadhoo,MV,0.53,72.93,overcast clouds,0.0,0.0,84.49,67,98,4.07
208,Saint George,US,37.1,-113.58,clear sky,0.0,0.0,91.99,10,1,4.7
209,Walldurn,DE,49.58,9.37,overcast clouds,0.0,0.0,57.99,88,87,1.99
210,Kahului,US,20.89,-156.47,scattered clouds,0.0,0.0,82.4,61,40,17.22
211,Bubaque,GW,11.28,-15.83,overcast clouds,0.0,0.0,82.27,80,94,12.71
212,Provideniya,RU,64.38,-173.3,broken clouds,0.0,0.0,59.67,37,74,4.12
213,Ancud,CL,-41.87,-73.82,scattered clouds,0.0,0.0,52.0,70,40,9.17
214,Bay Roberts,CA,47.6,-53.26,scattered clouds,0.0,0.0,50.0,30,42,5.01
215,Dudinka,RU,69.41,86.18,broken clouds,0.0,0.0,42.8,93,75,6.71
216,Sisimiut,GL,66.94,-53.67,clear sky,0.0,0.0,42.31,70,8,8.01
217,Liberal,US,37.04,-100.92,broken clouds,0.0,0.0,75.2,64,75,9.17
218,Baykit,RU,61.67,96.37,overcast clouds,0.0,0.0,58.73,63,93,2.39
219,Klaksvik,FO,62.23,-6.59,broken clouds,0.0,0.0,57.2,76,83,13.87
220,Faya,SA,18.39,42.45,overcast clouds,0.0,0.0,73.4,73,100,3.36
221,Mahebourg,MU,-20.41,57.7,broken clouds,0.0,0.0,71.6,68,75,17.22
222,Arraial Do Cabo,BR,-22.97,-42.03,overcast clouds,0.0,0.0,78.8,57,100,4.7
223,Nelson Bay,AU,-32.72,152.15,light intensity shower rain,0.0,0.0,45.0,100,90,6.93
224,Mucurapo,TT,10.67,-61.53,haze,0.0,0.0,90.0,62,20,12.75
225,Eureka,US,40.8,-124.16,broken clouds,0.0,0.0,71.01,12,64,5.01
226,San Andres,CO,12.58,-81.7,few clouds,0.0,0.0,87.8,74,20,17.22
227,Lensk,RU,60.73,114.93,scattered clouds,0.0,0.0,54.27,90,34,2.44
228,Praia,CV,14.92,-23.51,few clouds,0.0,0.0,78.8,69,20,14.99
229,Imbituba,BR,-28.24,-48.67,few clouds,0.0,0.0,69.8,77,13,10.29
230,Borda Da Mata,BR,-22.27,-46.17,broken clouds,0.0,0.0,65.25,73,80,3.38
231,Broken Hill,AU,-31.95,141.43,broken clouds,0.0,0.0,51.8,57,75,5.82
232,Flin Flon,CA,54.77,-101.86,overcast clouds,0.0,0.0,46.4,81,90,4.7
233,Belawan,ID,3.78,98.68,scattered clouds,0.0,0.0,78.8,94,40,3.36
234,Ziway,ET,7.93,38.72,light rain,0.12,0.12,67.21,75,84,11.25
235,Colac,AU,-38.33,143.58,clear sky,0.0,0.0,48.0,97,1,1.01
236,Cap Malheureux,MU,-19.98,57.61,broken clouds,0.0,0.0,72.0,68,83,11.99
237,San Luis,AR,-33.3,-66.34,clear sky,0.0,0.0,62.94,31,2,14.76
238,Envira,BR,-7.3,-70.22,broken clouds,0.0,0.0,88.93,54,78,2.01
239,Iwanai,JP,42.97,140.51,broken clouds,0.0,0.0,54.68,86,65,3.49
240,Zavetnoye,RU,47.12,43.89,overcast clouds,0.0,0.0,79.43,32,99,9.42
241,Waipawa,NZ,-41.41,175.52,broken clouds,0.0,0.0,55.99,97,54,0.54
242,Avesta,SE,60.15,16.17,clear sky,0.0,0.0,64.0,75,2,1.99
243,Slave Lake,CA,55.28,-114.77,clear sky,0.0,0.0,71.6,37,1,8.05
244,Sola,VU,-13.88,167.55,overcast clouds,0.0,0.0,79.03,79,98,19.15
245,Kushmurun,KZ,52.45,64.63,scattered clouds,0.0,0.0,50.94,61,30,3.27
246,Vestmannaeyjar,IS,63.44,-20.27,overcast clouds,0.0,0.0,52.36,77,100,15.21
247,Tukrah,LY,32.53,20.58,clear sky,0.0,0.0,76.75,35,0,4.16
